NOMBRE_PERFIL;ID_PERFIL;FECHA;TOTAL
ALCATRAZ ATLÁNTICO ;4;09/02/2018;31.9
PATO SERRUCHO ;5;09/02/2018;8.0
LIBÉLULA ;6;09/02/2018;16.0
TIBURÓN MAKO ;7;09/02/2018;47.9
CERCETA COMÚN ;8;09/02/2018;47.9
GUEPARDO;9;09/02/2018;16.0
PEZ VELA ;10;09/02/2018;16.0
COLIBRÍ ;11;09/02/2018;39.9
BERRENDO ;12;09/02/2018;55.9
ARDILLA DE LAS CAROLINAS ;13;09/02/2018;8.0
AVESTRUZ ;14;09/02/2018;24.0
ESCARABAJO TIGRE ;1;10/02/2018;71.8
HALCÓN PEREGRINO ;2;10/02/2018;6.0
ÁGUILA REAL ;3;10/02/2018;59.8
ALCATRAZ ATLÁNTICO ;4;10/02/2018;23.9
LEÓN ;15;10/02/2018;6.0
PATO SERRUCHO ;5;10/02/2018;6.0
LIBÉLULA ;6;10/02/2018;12.0
TIBURÓN MAKO ;7;10/02/2018;35.9
CERCETA COMÚN ;8;10/02/2018;35.9
GUEPARDO;9;10/02/2018;12.0
PEZ VELA ;10;10/02/2018;12.0
COLIBRÍ ;11;10/02/2018;29.9
BERRENDO ;12;10/02/2018;41.9
ARDILLA DE LAS CAROLINAS ;13;10/02/2018;6.0
AVESTRUZ ;14;10/02/2018;18.0
TIBURÓN MAKO ;7;12/02/2018;15.9
CERCETA COMÚN ;8;12/02/2018;8.0
PEZ VELA ;10;12/02/2018;4.0
GUEPARDO;9;12/02/2018;4.0
LIBÉLULA ;6;12/02/2018;4.0
COLIBRÍ ;11;12/02/2018;12.0
BERRENDO ;12;12/02/2018;15.9
ARDILLA DE LAS CAROLINAS ;13;12/02/2018;4.0
AVESTRUZ ;14;12/02/2018;4.0
ESCARABAJO TIGRE ;1;13/02/2018;47.8
HALCÓN PEREGRINO ;2;13/02/2018;4.0
ÁGUILA REAL ;3;13/02/2018;39.8
ALCATRAZ ATLÁNTICO ;4;13/02/2018;15.9
LEÓN ;15;13/02/2018;4.0
PATO SERRUCHO ;5;13/02/2018;4.0
LIBÉLULA ;6;13/02/2018;4.0
TIBURÓN MAKO ;7;13/02/2018;8.0
CERCETA COMÚN ;8;13/02/2018;15.9
GUEPARDO;9;13/02/2018;4.0
PEZ VELA ;10;13/02/2018;4.0
BERRENDO ;12;13/02/2018;12.0
AVESTRUZ ;14;13/02/2018;8.0
COLIBRÍ ;11;13/02/2018;8.0
ESCARABAJO TIGRE ;1;14/02/2018;83.8
HALCÓN PEREGRINO ;2;14/02/2018;7.0
ÁGUILA REAL ;3;14/02/2018;69.8
ALCATRAZ ATLÁNTICO ;4;14/02/2018;27.9
LEÓN ;15;14/02/2018;7.0
PATO SERRUCHO ;5;14/02/2018;7.0
LIBÉLULA ;6;14/02/2018;13.9
TIBURÓN MAKO ;7;14/02/2018;41.6
CERCETA COMÚN ;8;14/02/2018;41.8
GUEPARDO;9;14/02/2018;13.9
PEZ VELA ;10;14/02/2018;13.9
COLIBRÍ ;11;14/02/2018;34.7
BERRENDO ;12;14/02/2018;48.6
ARDILLA DE LAS CAROLINAS ;13;14/02/2018;6.9
AVESTRUZ ;14;14/02/2018;20.9
ESCARABAJO TIGRE ;1;15/02/2018;83.8
HALCÓN PEREGRINO ;2;15/02/2018;7.0
ÁGUILA REAL ;3;15/02/2018;69.8
ALCATRAZ ATLÁNTICO ;4;15/02/2018;27.9
PATO SERRUCHO ;5;15/02/2018;7.0
LIBÉLULA ;6;15/02/2018;13.9
TIBURÓN MAKO ;7;15/02/2018;41.6
CERCETA COMÚN ;8;15/02/2018;41.8
GUEPARDO;9;15/02/2018;13.9
PEZ VELA ;10;15/02/2018;13.9
COLIBRÍ ;11;15/02/2018;34.7
BERRENDO ;12;15/02/2018;48.6
ARDILLA DE LAS CAROLINAS ;13;15/02/2018;6.9
AVESTRUZ ;14;15/02/2018;20.9
ESCARABAJO TIGRE ;1;16/02/2018;83.8
HALCÓN PEREGRINO ;2;16/02/2018;7.0
ÁGUILA REAL ;3;16/02/2018;69.8
ALCATRAZ ATLÁNTICO ;4;16/02/2018;27.9
PATO SERRUCHO ;5;16/02/2018;7.0
LIBÉLULA ;6;16/02/2018;13.9
TIBURÓN MAKO ;7;16/02/2018;41.6
CERCETA COMÚN ;8;16/02/2018;41.8
GUEPARDO;9;16/02/2018;13.9
PEZ VELA ;10;16/02/2018;13.9
COLIBRÍ ;11;16/02/2018;34.7
BERRENDO ;12;16/02/2018;34.7
ARDILLA DE LAS CAROLINAS ;13;16/02/2018;6.9
AVESTRUZ ;14;16/02/2018;20.9
ESCARABAJO TIGRE ;1;17/02/2018;6.0
TIBURÓN MAKO ;7;17/02/2018;23.9
CERCETA COMÚN ;8;17/02/2018;12.0
PEZ VELA ;10;17/02/2018;6.0
GUEPARDO;9;17/02/2018;6.0
LIBÉLULA ;6;17/02/2018;6.0
COLIBRÍ ;11;17/02/2018;18.0
BERRENDO ;12;17/02/2018;18.0
ARDILLA DE LAS CAROLINAS ;13;17/02/2018;6.0
AVESTRUZ ;14;17/02/2018;6.0
ESCARABAJO TIGRE ;1;18/02/2018;65.8
HALCÓN PEREGRINO ;2;18/02/2018;6.0
ÁGUILA REAL ;3;18/02/2018;59.8
ALCATRAZ ATLÁNTICO ;4;18/02/2018;23.9
LEÓN ;15;18/02/2018;6.0
PATO SERRUCHO ;5;18/02/2018;6.0
LIBÉLULA ;6;18/02/2018;6.0
TIBURÓN MAKO ;7;18/02/2018;12.0
CERCETA COMÚN ;8;18/02/2018;23.9
GUEPARDO;9;18/02/2018;6.0
PEZ VELA ;10;18/02/2018;6.0
BERRENDO ;12;18/02/2018;12.0
AVESTRUZ ;14;18/02/2018;12.0
COLIBRÍ ;11;18/02/2018;12.0
ESCARABAJO TIGRE ;1;19/02/2018;95.0
HALCÓN PEREGRINO ;2;19/02/2018;7.9
ÁGUILA REAL ;3;19/02/2018;79.2
ALCATRAZ ATLÁNTICO ;4;19/02/2018;31.7
LEÓN ;15;19/02/2018;7.9
PATO SERRUCHO ;5;19/02/2018;7.9
LIBÉLULA ;6;19/02/2018;15.9
TIBURÓN MAKO ;7;19/02/2018;47.8
CERCETA COMÚN ;8;19/02/2018;47.6
GUEPARDO;9;19/02/2018;15.9
PEZ VELA ;10;19/02/2018;15.9
COLIBRÍ ;11;19/02/2018;39.9
BERRENDO ;12;19/02/2018;39.9
ARDILLA DE LAS CAROLINAS ;13;19/02/2018;8.0
AVESTRUZ ;14;19/02/2018;24.0
ESCARABAJO TIGRE ;1;20/02/2018;95.0
HALCÓN PEREGRINO ;2;20/02/2018;7.9
ÁGUILA REAL ;3;20/02/2018;79.2
ALCATRAZ ATLÁNTICO ;4;20/02/2018;31.7
LEÓN ;15;20/02/2018;7.9
PATO SERRUCHO ;5;20/02/2018;7.9
LIBÉLULA ;6;20/02/2018;15.9
TIBURÓN MAKO ;7;20/02/2018;47.8
CERCETA COMÚN ;8;20/02/2018;47.6
GUEPARDO;9;20/02/2018;15.9
PEZ VELA ;10;20/02/2018;15.9
COLIBRÍ ;11;20/02/2018;39.8
BERRENDO ;12;20/02/2018;39.8
ARDILLA DE LAS CAROLINAS ;13;20/02/2018;8.0
AVESTRUZ ;14;20/02/2018;23.8
ESCARABAJO TIGRE ;1;21/02/2018;95.0
HALCÓN PEREGRINO ;2;21/02/2018;7.9
ÁGUILA REAL ;3;21/02/2018;79.2
ALCATRAZ ATLÁNTICO ;4;21/02/2018;31.7
LEÓN ;15;21/02/2018;7.9
PATO SERRUCHO ;5;21/02/2018;7.9
LIBÉLULA ;6;21/02/2018;15.9
TIBURÓN MAKO ;7;21/02/2018;47.8
CERCETA COMÚN ;8;21/02/2018;47.6
GUEPARDO;9;21/02/2018;15.9
PEZ VELA ;10;21/02/2018;15.9
COLIBRÍ ;11;21/02/2018;39.8
BERRENDO ;12;21/02/2018;39.8
ARDILLA DE LAS CAROLINAS ;13;21/02/2018;8.0
AVESTRUZ ;14;21/02/2018;23.8
ESCARABAJO TIGRE ;1;22/02/2018;95.0
HALCÓN PEREGRINO ;2;22/02/2018;7.9
ÁGUILA REAL ;3;22/02/2018;79.2
ALCATRAZ ATLÁNTICO ;4;22/02/2018;31.7
LEÓN ;15;22/02/2018;7.9
PATO SERRUCHO ;5;22/02/2018;7.9
LIBÉLULA ;6;22/02/2018;15.9
TIBURÓN MAKO ;7;22/02/2018;47.8
CERCETA COMÚN ;8;22/02/2018;47.6
GUEPARDO;9;22/02/2018;15.9
PEZ VELA ;10;22/02/2018;15.9
COLIBRÍ ;11;22/02/2018;39.9
BERRENDO ;12;22/02/2018;39.9
ARDILLA DE LAS CAROLINAS ;13;22/02/2018;8.0
AVESTRUZ ;14;22/02/2018;24.0
ESCARABAJO TIGRE ;1;23/02/2018;95.0
HALCÓN PEREGRINO ;2;23/02/2018;7.9
ÁGUILA REAL ;3;23/02/2018;79.2
ALCATRAZ ATLÁNTICO ;4;23/02/2018;31.7
LEÓN ;15;23/02/2018;7.9
PATO SERRUCHO ;5;23/02/2018;7.9
